cvegeo,intralinks,size,grado,fuerza,longitude,latitude
1307600010631,0.0,0,0,0,-99.35242823130594,20.040713622897208
1502400010390,11.0,104,171,342,-99.1548797698448,19.667937535256065
150250002188A,"",20,11,11,-98.84645322187552,19.23743551143626
1503100011073,5.0,30,25,49,-98.95866897373148,19.412418989630822
150350009038A,"",2,3,3,-99.19797759473616,19.84212352525685
1505300010053,"",13,31,63,-99.14358314496809,19.705580635082896
1505500010043,"",11,10,13,-99.58885509001603,19.211101124930835
150570001139A,3.0,75,57,68,-99.23041195495975,19.48025092036699
1506000010359,1.0,59,87,114,-99.33545811978372,19.63168811511051
1507000421442,23.0,56,60,132,-98.94316152492337,19.364314819671428
1508100191111,3.0,153,321,509,-99.04548265884134,19.638911965848944
1510400012205,7.0,64,48,85,-99.17555702996191,19.54635375978941
1510800010585,"",3,5,5,-99.10877744541315,19.700740382257848
1700200010087,"",1,11,108,-98.89946139989254,18.937766544936345
0900300011069,4.0,43,12,13,-99.11365654961409,19.30890971506193
0900300011482,9.0,122,24,36,-99.10227643521688,19.317341350083588
0900500010563,46.0,210,190,476,-99.12885562541345,19.515920539729525
0900600010838,7.0,69,44,59,-99.10582634016131,19.385435520196083
0900700010036,86.0,450,241,478,-99.05153285468083,19.390115579922316
0900700012206,4.0,55,24,48,-99.06473455018119,19.296857520155523
0900700013670,24.0,181,165,277,-99.07320489655612,19.361158894898388
0900700015535,61.0,239,152,284,-99.07134899942699,19.32837805518053
090090100,81.0,334,192,345,-99.01829914992405,19.139889805197512
0901100011427,64.0,199,121,196,-99.00978838593687,19.265667370136676
0901200010869,29.0,217,94,215,-99.2116193999115,19.281308754848688
0901600010478,112.0,323,240,784,-99.18734238985692,19.44248343574186
1307600010400,"",3,11,13,-99.34115707697183,20.052899776278743
1307600110805,0.0,0,0,0,-99.26984013453793,20.021339795329546
1500200150355,"",11,52,54,-98.89891107860639,19.606021426169193
1501300011304,19.0,90,40,61,-99.26455480025986,19.58432977996835
1501300011408,41.0,202,77,132,-99.2389661847186,19.578689409967204
1502200010042,"",10,11,22,-98.86981194021368,19.234089166604086
1503500010055,"",8,17,78,-99.20294442521933,19.83062914478603
1503500270337,0.0,0,0,0,-99.2478821998432,19.83346454446989
1505400370953,1.0,6,3,5,-99.59065030000819,19.284912394850735
150571065,47.0,281,34,61,-99.37103851018392,19.457331954190188
1507000191118,78.0,199,171,635,-98.94792832460888,19.350595039834054
1507600010077,3.0,30,28,56,-99.52626700008149,19.277825055012173
1510600904333,"",24,20,26,-99.59145153515092,19.292876609924114
1510800010443,"",2,2,2,-99.1152342247797,19.677697740222165
151090003142A,17.0,34,14,43,-99.16185868297865,19.587016193575238
1512200010777,1.0,28,18,27,-98.94189369907608,19.25393979064578
1702600010040,0.0,0,0,0,-98.98566902993097,18.958807059633813
0900200010307,119.0,269,137,317,-99.18740757499572,19.48859650000144
0900700012668,16.0,88,39,60,-98.98800518475043,19.34911775518165
0900700013346,64.0,216,143,315,-99.00201447019856,19.331042491056625
0900903000632,1.0,38,10,12,-98.97495722161705,19.210780480036156
0901000010686,8.0,106,98,151,-99.227823284935,19.367115214963647
0901000012273,1.0,46,19,19,-99.24358225857853,19.348975692932594
0901200010515,17.0,159,67,82,-99.23573255517141,19.289420959733135
0901500010841,14.0,180,105,238,-99.15853336517802,19.426966295176513
0901700011331,7.0,128,57,90,-99.1182758699906,19.412783484847186
1306900080213,0.0,0,0,0,-98.95486092297612,19.819885466851865
1307600220877,0.0,0,0,0,-99.34832913091984,20.02193171476523
